ID,Latitude,Longitude,TelemDate,AID,Attribute
137,41.81259,-108.99475,4/3/2015 6:31,Jet,Winter range
138,41.81253,-108.99205,4/3/2015 9:16,Jet,Winter range
139,41.81381,-108.99183,4/3/2015 12:01,Jet,Winter range
140,41.81293,-108.99291,4/3/2015 14:46,Jet,Winter range
141,41.81542,-108.98576,4/3/2015 17:31,Jet,Winter range
142,41.81583,-108.98329,4/3/2015 20:16,Jet,Winter range
143,41.81564,-108.983,4/3/2015 23:01,Jet,Winter range
144,41.81585,-108.98197,4/4/2015 1:30,Jet,Winter range
145,41.81574,-108.98213,4/4/2015 4:16,Jet,Winter range
146,41.81549,-108.98144,4/4/2015 7:01,Jet,Winter range
147,41.8156,-108.98127,4/4/2015 9:46,Jet,Winter range
148,41.81678,-108.98001,4/4/2015 12:31,Jet,Winter range
149,41.81731,-108.97969,4/4/2015 15:16,Jet,Winter range
150,41.8156,-108.98365,4/4/2015 18:01,Jet,Winter range
151,41.81483,-108.9867,4/4/2015 20:46,Jet,Winter range
152,41.81531,-108.98684,4/4/2015 23:31,Jet,Winter range
153,41.81515,-108.98684,4/5/2015 2:01,Jet,Winter range
154,41.81972,-108.99193,4/5/2015 4:46,Jet,Winter range
155,41.8204,-108.98815,4/5/2015 7:31,Jet,Winter range
156,41.82106,-108.98664,4/5/2015 10:16,Jet,Winter range
157,41.82148,-108.98739,4/5/2015 13:01,Jet,Winter range
158,41.82017,-108.98937,4/5/2015 15:46,Jet,Winter range
159,41.82192,-108.99262,4/5/2015 18:31,Jet,Winter range
160,41.81651,-108.99375,4/5/2015 21:16,Jet,Winter range
161,41.81613,-108.99452,4/5/2015 23:45,Jet,Winter range
162,41.81329,-108.99264,4/6/2015 2:31,Jet,Winter range
163,41.81249,-108.99243,4/6/2015 5:16,Jet,Winter range
164,41.80896,-108.9893,4/6/2015 8:01,Jet,Winter range
165,41.80733,-108.98696,4/6/2015 10:46,Jet,Winter range
166,41.80629,-108.99111,4/6/2015 13:31,Jet,Winter range
167,41.80651,-108.99234,4/6/2015 16:16,Jet,Winter range
168,41.80121,-109.00545,4/6/2015 19:01,Jet,Winter range
169,41.80091,-109.00523,4/6/2015 21:46,Jet,Winter range
170,41.80089,-109.00584,4/6/2015 23:46,Jet,Winter range
171,41.80054,-109.00637,4/7/2015 3:01,Jet,Winter range
172,41.80184,-109.00846,4/7/2015 5:46,Jet,Winter range
173,41.80509,-109.00874,4/7/2015 8:31,Jet,Winter range
174,41.80366,-109.00765,4/7/2015 11:16,Jet,Winter range
175,41.80328,-109.01045,4/7/2015 14:00,Jet,Winter range
176,41.80509,-109.01,4/7/2015 16:46,Jet,Winter range
177,41.80566,-109.01371,4/7/2015 19:30,Jet,Winter range
178,41.8051,-109.01441,4/7/2015 22:16,Jet,Winter range
179,41.80484,-109.01546,4/7/2015 23:45,Jet,Winter range
180,41.80483,-109.01544,4/8/2015 0:00,Jet,Winter range
181,41.8055,-109.01731,4/8/2015 2:46,Jet,Winter range
182,41.80538,-109.01628,4/8/2015 5:31,Jet,Winter range
183,41.80625,-109.00822,4/8/2015 8:16,Jet,Winter range
184,41.8033,-109.00732,4/8/2015 11:01,Jet,Winter range
185,41.80362,-109.01091,4/8/2015 13:45,Jet,Winter range
186,41.80545,-109.00981,4/8/2015 16:31,Jet,Winter range
187,41.80439,-109.0126,4/8/2015 19:16,Jet,Winter range
188,41.81425,-109.00289,4/8/2015 22:01,Jet,Winter range
189,41.81396,-109.00284,4/9/2015 0:31,Jet,Winter range
190,41.81439,-109.00313,4/9/2015 3:16,Jet,Winter range
191,41.81514,-109.00376,4/9/2015 6:01,Jet,Winter range
192,41.8157,-109.0063,4/9/2015 8:46,Jet,Winter range
